field,query
people,25
people,35
planets,32
people,79
people,38
people,75
planets,44
planets,42
planets,48
people,34
planets,46
people,82
planets,39
people,24
people,73
planets,55
planets,28
people,66
people,25
people,11
people,47
planets,31
planets,56
people,7
people,39
people,9
planets,10
planets,15
people,57
planets,17
people,72
people,15
planets,22
planets,9
planets,35
people,64
people,35
planets,2
people,65
people,41
planets,22
people,77
planets,48
people,54
people,59
planets,9
species,3
people,77
planets,48
planets,12
people,40
planets,53
planets,55
planets,16
planets,8
people,33
people,83
planets,25
planets,2
people,64
people,9
people,32
people,40
planets,30
species,4
people,43
people,4
people,23
planets,55
planets,58
people,74
people,30
people,16
people,12
planets,52
planets,48
species,1
people,20
people,19
planets,3
people,60
people,13
people,35
planets,37
people,18
planets,8
people,83
people,79
people,18
planets,28
people,2
people,16
people,67
planets,34
people,20
planets,44
people,59
planets,60
planets,57
people,78
people,60
people,79
planets,58
planets,36
people,65
planets,30
people,44
planets,35
people,39
planets,24
people,10
species,2
planets,43
people,79
people,7
planets,37
planets,58
people,78
people,34
planets,24
planets,40
people,62
people,12
people,16
people,77
people,61
planets,11
people,37
planets,52
planets,29
people,40
planets,8
planets,45
planets,18
people,35
planets,11
people,6
people,41
people,13
people,25
people,5
people,47
planets,48
planets,1
people,37
planets,5
planets,6
planets,30
people,31
planets,36
planets,2
planets,57
people,42
people,77
species,3
people,75
people,3
planets,7
people,45
people,3
species,2
people,74
people,35
people,14
planets,16
planets,31
people,57
planets,7
people,3
people,66
people,13
people,11
planets,13
people,11
people,68
people,47
people,40
people,61
people,56
planets,46
people,18
people,9
people,3
people,60
planets,26
people,44
people,13
people,83
planets,11
planets,34
planets,19
people,58
people,35
people,60
planets,42
planets,24
people,7
people,68
planets,27
people,4
people,32
people,75
planets,60
people,43
planets,9
people,75
people,73
people,20
planets,38
people,52
planets,8
planets,54
people,67
planets,46
people,14
people,5
people,38
people,25
people,68
people,4
people,38
people,37
planets,42
people,21
planets,58
people,3
planets,41
people,13
planets,53
people,1
people,44
people,83
people,61
people,22
planets,60
people,32
planets,8
people,50
people,5
people,35
people,26
people,37
planets,36
planets,25
planets,21
people,70
planets,16
people,1
planets,47
planets,20
planets,4
people,18
planets,24
planets,16
people,25
people,70
planets,12
people,53
planets,11
people,26
planets,34
people,46
planets,12
people,18
people,42
planets,47
people,6
planets,11
planets,38
planets,3
people,30
people,67
people,56
planets,32
people,69
planets,56
planets,58
planets,18
people,68
planets,27
planets,21
people,53
people,49
planets,3
planets,60
planets,44
people,76
people,31
people,15
people,47
planets,32
people,10
planets,28
people,65
people,68
planets,48
planets,5
people,19
planets,5
people,48
people,68
people,56
species,4
people,82
people,54
people,64
planets,22
people,67
people,62
people,72
people,19
people,80
people,55
people,54
people,3
planets,57
people,59
planets,39
people,63
planets,3
planets,1
planets,60
planets,33
people,34
planets,20
people,40
people,67
people,46
species,4
planets,24
people,83
people,70
species,2
planets,38
people,15
people,52
people,24
planets,5
people,74
people,50
planets,45
planets,26
planets,49
people,8
people,4
planets,28
people,1
people,45
people,76
planets,32
planets,5
planets,30
people,60
people,18
people,27
people,78
people,35
species,2
planets,20
people,52
people,27
people,12
planets,46
people,55
people,8
people,3
planets,27
planets,5
people,60
people,61
people,79
planets,11
people,13
planets,16
planets,58
people,47
planets,54
people,58
people,69
people,34
planets,20
planets,23
people,47
people,19
people,8
people,52
people,45
species,4
people,21
species,4
planets,21
people,50
planets,29
planets,15
people,13
planets,9
people,55
people,47
people,31
people,22
people,20
planets,1
people,1
people,2
people,51
planets,57
planets,22
planets,35
planets,34
people,83
planets,19
planets,22
planets,12
planets,53
planets,53
people,68
people,12
planets,51
people,38
planets,15
planets,22
planets,2
people,74
people,81
planets,35
planets,10
people,37
planets,26
planets,54
people,80
people,83
people,53
planets,55
planets,18
people,26
people,43
planets,12
people,63
planets,48
planets,15
people,60
people,62
planets,17
planets,5
planets,15
species,3
people,49
planets,14
planets,44
people,49
planets,4
people,81
people,64
people,46
people,68
people,13
planets,2
people,42
people,45
planets,11
people,66
planets,51
planets,38
people,34
planets,15
people,13
planets,46
people,34
people,75
planets,21
species,3
people,9
people,37
people,58
people,6
planets,52
people,23
people,55
planets,49
people,11
planets,13
planets,47
planets,36
planets,7
planets,58
planets,41
people,48
planets,16
planets,41
people,70
planets,55
planets,29
people,67
people,75
species,1
planets,54
people,33
planets,42
planets,52
planets,14
people,24
people,64
planets,41
planets,4
people,12
people,34
planets,50
people,23
people,81
planets,39
species,2
planets,40
planets,43
people,27
planets,21
planets,38
planets,48
people,24
planets,32
species,3
people,39
species,1
planets,13
people,32
people,19
people,43
people,42
people,13
people,56
people,23
planets,54
species,1
people,78
people,70
planets,36
people,33
people,41
people,39
planets,33
people,50
people,21
planets,48
people,37
species,2
people,62
planets,43
planets,55
people,51
planets,57
planets,54
people,3
people,62
planets,2
people,65
people,21
planets,14
people,65
people,82
planets,58
people,9
people,73
people,50
people,69
planets,29
people,7
people,62
people,81
species,1
people,28
people,13
planets,49
people,27
people,57
planets,57
species,3
planets,40
people,57
people,7
people,54
people,80
planets,19
people,43
people,72
people,77
planets,14
people,41
people,25
people,25
planets,7
people,40
people,44
people,16
planets,5
people,3
planets,19
people,51
planets,20
people,29
planets,59
people,81
people,75
planets,44
people,80
planets,52
planets,17
planets,32
planets,56
people,46
people,67
people,4
people,16
people,33
people,76
people,7
people,33
people,49
people,6
people,15
planets,59
people,73
people,27
planets,25
people,18
planets,54
planets,12
people,29
people,18
people,11
planets,28
people,35
people,67
people,62
planets,58
planets,27
planets,40
people,62
planets,50
people,73
planets,28
people,18
people,74
planets,34
people,59
people,27
people,35
people,26
people,38
people,34
planets,34
planets,13
people,24
people,71
people,42
people,24
people,81
people,39
planets,25
species,3
people,30
planets,53
people,39
planets,20
planets,32
people,14
people,58
planets,52
people,2
planets,55
planets,10
planets,56
people,57
people,71
people,56
people,25
planets,20
people,58
planets,29
people,5
planets,57
planets,58
people,11
people,69
people,49
people,82
people,40
people,74
people,78
species,3
planets,9
people,51
people,72
planets,27
people,24
people,24
planets,26
people,18
planets,26
people,47
people,2
people,61
people,56
people,64
people,28
planets,9
planets,22
people,64
people,24
people,14
people,65
people,63
people,3
planets,44
people,55
people,43
planets,14
planets,56
planets,59
planets,25
people,2
planets,33
planets,26
people,41
people,46
people,56
planets,20
planets,37
planets,41
planets,5
planets,15
planets,47
planets,56
people,72
people,3
people,26
planets,9
people,59
people,42
people,16
planets,13
people,47
planets,18
people,34
people,21
people,58
people,59
people,74
people,69
planets,6
planets,34
people,81
planets,42
people,10
planets,59
people,36
people,46
planets,8
planets,14
people,37
planets,49
people,16
people,57
planets,57
people,2
people,33
people,81
planets,10
planets,44
planets,15
people,53
people,47
planets,2
people,41
species,2
people,61
planets,42
planets,56
people,56
people,36
people,64
people,44
people,53
people,72
people,43
people,80
people,38
planets,8
people,62
planets,9
people,20
people,34
people,47
planets,58
planets,34
people,59
people,53
planets,5
planets,3
species,4
people,80
planets,15
planets,9
planets,59
people,30
people,21
people,21
people,48
people,75
people,67
people,9
people,28
people,18
people,4
planets,13
people,63
planets,1
people,45
people,30
people,38
planets,23
planets,13
planets,4
people,35
people,51
people,15
people,39
people,35
planets,58
people,47
people,33
planets,34
planets,18
planets,47
people,6
people,42
people,29
planets,54
people,64
people,10
planets,39
species,1
planets,32
people,4
planets,25
planets,43
people,27
people,18
people,39
planets,24
people,10
people,41
people,40
people,20
planets,17
people,20
people,28
people,5
people,42
planets,25
planets,11
people,63
people,71
planets,3
planets,49
planets,47
planets,41
planets,14
planets,23
planets,53
people,13
planets,9
planets,15
planets,45
planets,31
planets,50
planets,15
planets,53
people,59
people,37
people,15
people,71
people,57
people,5
planets,49
planets,41
species,4
people,21
planets,37
planets,14
planets,52
planets,54
planets,17
people,7
people,46
people,44
people,27
planets,60
planets,35
people,52
people,42
people,32
planets,5
people,28
people,5
people,40
people,63
planets,50
people,48
planets,11
planets,27
people,34
people,80
planets,56
people,12
planets,16
planets,36
planets,10
people,53
people,74
planets,21
people,1
planets,1
planets,37
people,65
people,19
planets,38
people,11
people,35
planets,6
species,2
people,67
planets,56
planets,32
people,19
people,31
planets,44
people,82
people,32
planets,57
planets,27
species,1
people,31
people,4
people,29
planets,12
people,40
planets,24
people,40
people,14
people,22
people,81
people,39
planets,16
people,37
people,80
people,74
people,31
species,1
people,25
people,60
people,18
people,73
planets,40
people,74
people,15
people,36
people,9
people,72
planets,44
people,54
people,51
people,37
people,2
planets,32
people,1
people,46
people,26
people,67
planets,36
people,59
people,66
people,12
planets,1
people,5
planets,15
people,49
people,26
planets,14
people,54
people,16
people,33
people,71
planets,30
people,18
people,64
planets,6
people,30
people,78
people,66
people,48
planets,28
species,4
people,82
people,28
people,83
people,13
planets,10
people,53
people,38
people,55
people,3
people,42
people,65
people,46
planets,20
people,77
planets,50
planets,50
planets,39
people,38
people,37
people,8
people,39
planets,1
planets,52
people,68
people,79
people,74
people,71
planets,34
planets,48
people,78
people,30
people,62
planets,50
people,15
people,37
planets,14
people,27
planets,11
people,69
planets,23
people,66
people,30
planets,24
people,82
planets,60
planets,27
planets,32
people,12
people,45
people,71
planets,58
people,61
planets,53
planets,30
planets,6
people,13
planets,4
people,60
planets,45
people,33
people,45
planets,11
people,51
planets,26
planets,46
people,51
people,81
planets,55
people,51
people,28
people,44
people,49
people,14
planets,41
planets,28
planets,50
planets,60
people,70
people,13
planets,7
planets,14
people,66
people,15
planets,13
people,53
people,39
planets,42
people,29
people,42
people,14
people,70
planets,58
people,19
people,45
people,45
planets,7
people,5
people,58
people,36
species,4
planets,12
species,3
people,48
people,30
planets,1
people,77
people,52
people,34
species,3
people,15
people,68
planets,11
species,3
people,54
people,37
planets,24
people,39
people,29
people,40
people,29
planets,20
planets,58
people,43
people,36
people,24
people,13
people,61
planets,36
species,1
people,15
people,59
planets,5
planets,51
planets,29
species,2
people,45
people,9
people,39
people,9
species,4
species,2
people,67
people,42
people,59
planets,25
planets,15
people,23
planets,57
people,72
people,23
people,83
people,83
planets,48
planets,23
people,36
planets,45
people,64
people,42
planets,40
people,66
planets,46
planets,40
planets,42
people,56
planets,28
people,4
species,2
species,1
people,9
planets,56
people,58
planets,37
people,18
people,35
planets,37
planets,39
people,3
planets,31
planets,53
people,9
people,4
people,77
people,11
planets,1
planets,57
people,32
planets,6
people,8
planets,33
planets,30
planets,52
people,72
planets,52
planets,44
people,39
people,44
people,67
planets,58
species,1
people,41
planets,4
planets,57
people,34
people,14
