field,query,time
people,25,1.306323528289795
people,35,1.0040011405944824
planets,32,1.0833468437194824
people,79,1.014880657196045
people,38,1.6160783767700195
people,75,1.0474050045013428
planets,44,0.9791262149810791
planets,42,1.0396080017089844
planets,48,1.025942325592041
people,34,1.0377697944641113
planets,46,1.026599645614624
people,82,0.9818964004516602
planets,39,0.9712157249450684
people,24,1.006523609161377
people,73,0.9819169044494629
planets,55,1.0264291763305664
planets,28,1.0049352645874023
people,66,1.0283374786376953
people,25,0.007982969284057617
people,11,0.9846396446228027
people,47,0.9855656623840332
planets,31,1.0208892822265625
planets,56,0.9814193248748779
people,7,0.9863126277923584
people,39,1.0411107540130615
people,9,0.986635684967041
planets,10,1.7156383991241455
planets,15,0.9992203712463379
people,57,0.9792904853820801
planets,17,0.9961733818054199
people,72,1.0528416633605957
people,15,1.2446000576019287
planets,22,1.0274488925933838
planets,9,0.9983911514282227
planets,35,0.9846875667572021
people,64,1.066183090209961
people,35,0.009995460510253906
planets,2,0.9911201000213623
people,65,0.9896841049194336
people,41,1.006497859954834
planets,22,0.00399327278137207
people,77,0.9816765785217285
planets,48,0.004996061325073242
people,54,1.0271553993225098
people,59,1.0130717754364014
planets,9,0.003996372222900391
species,3,0.9838061332702637
people,77,0.0030012130737304688
planets,48,0.004003286361694336
planets,12,1.0157933235168457
people,40,1.0166809558868408
planets,53,1.077695369720459
planets,55,0.010058164596557617
planets,16,1.0189151763916016
planets,8,0.9820539951324463
people,33,1.0099539756774902
people,83,0.9980018138885498
planets,25,1.590766429901123
planets,2,0.002995014190673828
people,64,0.005006551742553711
people,9,0.003984689712524414
people,32,1.0016758441925049
people,40,0.002981424331665039
planets,30,0.9828355312347412
species,4,0.9887712001800537
people,43,1.0739054679870605
people,4,0.989478349685669
people,23,1.018925666809082
planets,55,0.010005474090576172
planets,58,0.9705820083618164
people,74,0.9844851493835449
people,30,1.0124969482421875
people,16,0.9692299365997314
people,12,0.9725847244262695
planets,52,0.9879608154296875
planets,48,0.007977724075317383
species,1,1.0025944709777832
people,20,1.0582003593444824
people,19,0.9853804111480713
planets,3,1.0031764507293701
people,60,1.0634653568267822
people,13,0.9779598712921143
people,35,0.008985519409179688
planets,37,1.0453248023986816
people,18,1.0356879234313965
planets,8,0.007988691329956055
people,83,0.005981922149658203
people,79,0.006013393402099609
people,18,0.005742073059082031
planets,28,0.0033686161041259766
people,2,0.9958460330963135
people,16,0.0069963932037353516
people,67,1.0413570404052734
planets,34,0.9736535549163818
people,20,0.008966445922851562
planets,44,0.006978273391723633
people,59,0.0060062408447265625
planets,60,1.0185954570770264
planets,57,0.9999091625213623
people,78,0.9893755912780762
people,60,0.004003047943115234
people,79,0.0040013790130615234
planets,58,0.0039997100830078125
planets,36,0.9943766593933105
people,65,0.00400090217590332
planets,30,0.004311084747314453
people,44,0.9833807945251465
planets,35,0.009041309356689453
people,39,0.006971836090087891
planets,24,1.0285122394561768
people,10,0.9717752933502197
species,2,1.0077998638153076
planets,43,1.0011508464813232
people,79,0.007993221282958984
people,7,0.005977630615234375
planets,37,0.003999471664428711
planets,58,0.00400233268737793
people,78,0.005002021789550781
people,34,0.004003047943115234
planets,24,0.003992557525634766
planets,40,1.0092902183532715
people,62,1.0267376899719238
people,12,0.004001617431640625
people,16,0.003849506378173828
people,77,0.003996133804321289
people,61,0.9953734874725342
planets,11,1.034233808517456
people,37,1.0130059719085693
planets,52,0.008947134017944336
planets,29,0.9812004566192627
people,40,0.00400543212890625
planets,8,0.005000591278076172
planets,45,1.0559732913970947
planets,18,0.99774169921875
people,35,0.008226156234741211
planets,11,0.004692792892456055
people,6,1.02073335647583
people,41,0.004996776580810547
people,13,0.004477977752685547
people,25,0.003996610641479492
people,5,0.975846529006958
people,47,0.009002447128295898
planets,48,0.0069921016693115234
planets,1,1.0246250629425049
people,37,0.003997802734375
planets,5,1.0096559524536133
planets,6,1.0124502182006836
planets,30,0.004988193511962891
people,31,1.0219638347625732
planets,36,0.007988929748535156
planets,2,0.0059931278228759766
planets,57,0.00399017333984375
people,42,0.9653465747833252
people,77,0.004002094268798828
species,3,0.005003213882446289
people,75,0.0039920806884765625
people,3,0.9744839668273926
planets,7,1.0430524349212646
people,45,0.988339900970459
people,3,0.007994413375854492
species,2,0.005989551544189453
people,74,0.004014492034912109
people,35,0.0050051212310791016
people,14,0.9852287769317627
planets,16,0.00499272346496582
planets,31,0.004998445510864258
people,57,0.004998207092285156
planets,7,0.004002809524536133
people,3,0.003985404968261719
people,66,0.005005359649658203
people,13,0.004992485046386719
people,11,0.003998517990112305
planets,13,1.0081818103790283
people,11,0.0029973983764648438
people,68,0.9747958183288574
people,47,0.005001068115234375
people,40,0.006004810333251953
people,61,0.005001544952392578
people,56,1.0739359855651855
planets,46,0.003000974655151367
people,18,0.005035877227783203
people,9,0.00496220588684082
people,3,0.00400543212890625
people,60,0.004000663757324219
planets,26,1.0058093070983887
people,44,0.01001596450805664
people,13,0.010006427764892578
people,83,0.004994630813598633
planets,11,0.006009101867675781
planets,34,0.00498509407043457
planets,19,0.975313663482666
people,58,1.055894374847412
people,35,0.004992246627807617
people,60,0.006015777587890625
planets,42,0.004280567169189453
planets,24,0.0029981136322021484
people,7,0.004004240036010742
people,68,0.005028963088989258
planets,27,1.0505468845367432
people,4,0.00597691535949707
people,32,0.0060062408447265625
people,75,0.004997968673706055
planets,60,0.0039942264556884766
people,43,0.0040111541748046875
planets,9,0.00399470329284668
people,75,0.004000186920166016
people,73,0.003997087478637695
people,20,0.004001140594482422
planets,38,0.9691329002380371
people,52,1.0172367095947266
planets,8,0.005175113677978516
planets,54,1.016366720199585
people,67,0.0040094852447509766
planets,46,0.004991292953491211
people,14,0.003992557525634766
people,5,0.0040035247802734375
people,38,0.004001140594482422
people,25,0.005998849868774414
people,68,0.004434823989868164
people,4,0.004002094268798828
people,38,0.005018472671508789
people,37,0.003879070281982422
planets,42,0.002918720245361328
people,21,0.9898605346679688
planets,58,0.004001140594482422
people,3,0.0050084590911865234
planets,41,1.0440990924835205
people,13,0.004000663757324219
planets,53,0.005006551742553711
people,1,0.9788403511047363
people,44,0.0030035972595214844
people,83,0.005017995834350586
people,61,0.003991365432739258
people,22,0.9788269996643066
planets,60,0.004000186920166016
people,32,0.004999876022338867
planets,8,0.004003763198852539
people,50,0.9824292659759521
people,5,0.010000228881835938
people,35,0.007998228073120117
people,26,1.02384352684021
people,37,0.004004001617431641
planets,36,0.0039980411529541016
planets,25,0.0039479732513427734
planets,21,1.57216215133667
people,70,0.9674816131591797
planets,16,0.004006385803222656
people,1,0.004007577896118164
planets,47,1.016418218612671
planets,20,0.9757604598999023
planets,4,1.0408649444580078
people,18,0.003996372222900391
planets,24,0.00399327278137207
planets,16,0.0043222904205322266
people,25,0.003975629806518555
people,70,0.0039975643157958984
planets,12,0.0030062198638916016
people,53,1.0900869369506836
planets,11,0.002995014190673828
people,26,0.005007743835449219
planets,34,0.0039997100830078125
people,46,0.9972867965698242
planets,12,0.003998279571533203
people,18,0.005017757415771484
people,42,0.003992557525634766
planets,47,0.0040323734283447266
people,6,0.003999471664428711
planets,11,0.0036470890045166016
planets,38,0.005005836486816406
planets,3,0.004995107650756836
people,30,0.004001140594482422
people,67,0.004005908966064453
people,56,0.004994869232177734
planets,32,0.003997087478637695
people,69,0.9830782413482666
planets,56,0.010018587112426758
planets,58,0.005985736846923828
planets,18,0.00400233268737793
people,68,0.0059967041015625
planets,27,0.003998517990112305
planets,21,0.003008604049682617
people,53,0.004004955291748047
people,49,0.9976363182067871
planets,3,0.00400090217590332
planets,60,0.005012035369873047
planets,44,0.0049898624420166016
people,76,1.046426773071289
people,31,0.007997512817382812
people,15,0.006009817123413086
people,47,0.004005908966064453
planets,32,0.004006385803222656
people,10,0.0050029754638671875
planets,28,0.003186464309692383
people,65,0.0030012130737304688
people,68,0.005000114440917969
planets,48,0.004002809524536133
planets,5,0.003996133804321289
people,19,0.003999233245849609
planets,5,0.004294395446777344
people,48,0.9841504096984863
people,68,0.004004478454589844
people,56,0.005003452301025391
species,4,0.0049991607666015625
people,82,0.0043277740478515625
people,54,0.0029993057250976562
people,64,0.0025594234466552734
planets,22,0.005002021789550781
people,67,0.0032417774200439453
people,62,0.003004312515258789
people,72,0.004002571105957031
people,19,0.004993915557861328
people,80,0.9660851955413818
people,55,0.9659864902496338
people,54,0.00400090217590332
people,3,0.005007266998291016
planets,57,0.00399470329284668
people,59,0.0039904117584228516
planets,39,0.00299835205078125
people,63,1.0423226356506348
planets,3,0.007992982864379883
planets,1,0.004998445510864258
planets,60,0.004581928253173828
planets,33,1.0109963417053223
people,34,0.003996133804321289
planets,20,0.005019664764404297
people,40,0.003981351852416992
people,67,0.005010366439819336
people,46,0.004987955093383789
species,4,0.004994869232177734
