field,query,time
people,25,1.2653303146362305
people,35,1.0280818939208984
planets,32,0.9765853881835938
people,79,1.0558772087097168
people,38,1.3089940547943115
people,75,1.0544381141662598
planets,44,1.0071094036102295
planets,42,0.9744281768798828
planets,48,1.0183868408203125
people,34,1.0696618556976318
planets,46,0.9782431125640869
people,82,0.9829776287078857
planets,39,0.9600789546966553
people,24,1.0173237323760986
people,73,1.06215500831604
planets,55,1.0029575824737549
planets,28,0.976111888885498
people,66,1.0386030673980713
people,25,0.0029985904693603516
people,11,1.087235927581787
people,47,1.0283904075622559
planets,31,1.0132107734680176
planets,56,0.9868988990783691
people,7,0.9625015258789062
people,39,0.962658166885376
people,9,1.0315396785736084
planets,10,0.9850804805755615
planets,15,0.9825782775878906
people,57,1.02622652053833
planets,17,0.9752945899963379
people,72,1.114542007446289
people,15,1.0384464263916016
planets,22,1.0057194232940674
planets,9,0.9791703224182129
planets,35,0.9753153324127197
people,64,1.0500819683074951
people,35,0.0040018558502197266
planets,2,1.022130012512207
people,65,1.0127274990081787
people,41,1.0558154582977295
planets,22,0.01102304458618164
people,77,1.0053658485412598
planets,48,0.003996133804321289
people,54,1.0330374240875244
people,59,1.034111738204956
planets,9,0.003012418746948242
species,3,1.5621535778045654
people,77,0.003997325897216797
planets,48,0.004008293151855469
planets,12,0.9908301830291748
people,40,1.0470361709594727
planets,53,1.0107331275939941
planets,55,0.0059893131256103516
planets,16,0.9984259605407715
planets,8,1.0131258964538574
people,33,1.0039761066436768
people,83,1.0289571285247803
planets,25,0.9586880207061768
planets,2,0.003955841064453125
people,64,0.0054607391357421875
people,9,0.003986835479736328
people,32,0.9984760284423828
people,40,0.003999948501586914
planets,30,0.9750721454620361
species,4,0.9600036144256592
people,43,1.0880823135375977
people,4,1.0631182193756104
people,23,1.0698161125183105
planets,55,0.003997325897216797
planets,58,1.05509352684021
people,74,0.9784541130065918
people,30,1.018704891204834
people,16,1.0087435245513916
people,12,0.9690883159637451
planets,52,1.033808708190918
planets,48,0.005984067916870117
species,1,0.9964430332183838
people,20,1.1022026538848877
people,19,0.9717309474945068
planets,3,0.9936807155609131
people,60,0.9992349147796631
people,13,1.023832082748413
people,35,0.003996133804321289
planets,37,1.0714473724365234
people,18,0.9916622638702393
planets,8,0.009002685546875
people,83,0.005999565124511719
people,79,0.0049970149993896484
people,18,0.003999471664428711
planets,28,0.0029935836791992188
people,2,1.0194611549377441
people,16,0.004999637603759766
people,67,0.992393970489502
planets,34,1.1202566623687744
people,20,0.006989717483520508
planets,44,0.007017374038696289
people,59,0.004980564117431641
planets,60,0.9598727226257324
planets,57,0.9986698627471924
people,78,0.9833617210388184
people,60,0.009009838104248047
people,79,0.007985115051269531
planets,58,0.005998849868774414
planets,36,0.9556167125701904
people,65,0.0039975643157958984
planets,30,0.003914833068847656
people,44,1.0165257453918457
planets,35,0.007997512817382812
people,39,0.0060007572174072266
